power_delta,power_theta,power_alpha,power_beta,rel_delta,rel_theta,rel_alpha,rel_beta,ratio_delta_beta,ratio_theta_alpha,mean,std,skewness,kurtosis,rms,pct_wake,pct_n1,pct_n2,pct_n3,pct_rem,fragmentation,mean_confidence,target_score
3.232373791371701e-10,3.662928673483362e-11,8.628886559274018e-12,1.0861841211618622e-11,0.6743139532713041,0.07641331336618769,0.018000946003353443,0.022659171122976975,2.9156775280338203,0.33719655880709615,-9.00148532101408e-12,2.0033830878674053e-05,-0.34827524423599243,2.8062572479248047,2.0033830878674053e-05,0.7418867924528302,0.03018867924528302,0.08339622641509434,0.09433962264150944,0.050188679245283016,0.019622641509433963,0.9729300737380981,66.3855536497046
3.8516694521317785e-10,5.281351159354408e-11,1.911565469716464e-11,3.2666194158285575e-11,0.6530884417591268,0.08955050379872317,0.032412472810892864,0.055388745338020025,2.9032787716336435,0.4433801058963681,1.6064797062065317e-11,2.2772164811613038e-05,-0.14403846859931946,2.68220853805542,2.2772166630602442e-05,0.6383881230116649,0.049487451396253095,0.10144927536231885,0.11912336514669494,0.09155178508306822,0.030045952633439378,0.940824568271637,31.24425592082008
3.8886026516860017e-10,2.8436401508253467e-11,4.860804467266e-12,3.536320203139341e-12,0.7397086889156919,0.0540930898867496,0.009246455916492051,0.0067269582813150345,3.755786031468496,0.27118237031197245,-7.075976610204648e-11,2.1183617718634196e-05,-0.6356750726699829,6.179584503173828,2.1183617718634196e-05,0.6466809421841542,0.048893647394718055,0.1966452533904354,0.04425410421127766,0.0635260528194147,0.012491077801570306,0.9854653477668762,27.873876982792687
3.858310359573791e-10,3.478645339448014e-11,5.7550722542577815e-12,4.289623488029312e-12,0.7270746753679607,0.06555291553007225,0.010845076992318112,0.008083529613605834,3.699610978091852,0.32893413670831856,5.173393310964336e-11,2.136037073796615e-05,-0.5246602296829224,4.392032623291016,2.136037073796615e-05,0.6235955056179775,0.03441011235955056,0.20786516853932585,0.05231741573033708,0.08181179775280899,0.023876404494382022,0.9676730036735535,28.84465567972192
1.3792611865993953e-10,9.904828503605814e-12,2.495926479818139e-12,3.0790184058659313e-12,0.5442893120778126,0.039086812163316206,0.009849520307654302,0.012150539914311729,1.3380620109988413,0.09663631369346287,-2.2236179911261367e-11,1.2736535609292332e-05,-0.5741435289382935,6.560791969299316,1.2736535609292332e-05,0.6758202567760342,0.029243937232524966,0.1833095577746077,0.04992867332382311,0.061697574893009983,0.017118402282453638,0.9740028381347656,29.211834878209654
3.192830244982958e-10,1.6982055166389273e-11,2.9739974588896545e-12,2.7926161198709386e-12,0.722307991437286,0.03841818454641109,0.0067280186112169725,0.006317683013586372,3.106089100076663,0.16491595534269732,2.0185393634353233e-10,1.9017667000298388e-05,-1.015641450881958,8.507485389709473,1.9017667000298388e-05,0.6740471869328494,0.024682395644283123,0.17023593466424683,0.052268602540834846,0.07876588021778584,0.019963702359346643,0.9709780812263489,30.522354577019307
1.353153589612327e-10,2.012630649162253e-11,6.654631896528193e-12,1.1954790544272623e-11,0.49375961249145284,0.07343998028364852,0.024282450209102927,0.0436224889167804,1.2086607308485127,0.1887054142303751,1.1114212848661875e-11,1.3457562090479769e-05,-0.4956420660018921,5.232213020324707,1.3457562090479769e-05,0.6946808510638298,0.029432624113475178,0.15780141843971632,0.046453900709219856,0.07163120567375887,0.01950354609929078,0.9698646068572998,30.169489954777973
3.4149264492577824e-10,5.1982965891886335e-11,1.6301765601474394e-11,2.5732249040984548e-11,0.6376965579887739,0.09707195430375551,0.030441592132853825,0.04805188892519858,2.7160306725640684,0.44696626592939126,-7.400478840846603e-11,2.130052052962128e-05,-0.34823158383369446,4.266327857971191,2.130052052962128e-05,0.6991215226939971,0.02452415812591508,0.16398243045387995,0.0369692532942899,0.07540263543191801,0.0212298682284041,0.9679651260375977,28.489818782885013
3.4133204943054274e-10,4.7361864972429724e-11,1.2300846972956858e-11,1.370348757021413e-11,0.6631692455325582,0.09201870235502888,0.02389914284368196,0.02662431356289309,3.0019488119901645,0.42174094184556704,1.09106536305692e-10,2.08491510420572e-05,-0.5124844908714294,4.130336761474609,2.08491510420572e-05,0.5667574931880109,0.08057609964966914,0.23939275982872713,0.02413390424289607,0.08913974309069676,0.02413390424289607,0.972505509853363,24.120809956242578
4.670345464530268e-10,6.823001939913059e-11,1.8096208396784635e-11,2.311391167711136e-11,0.690394712721119,0.10086115684540033,0.026750754718947112,0.034168184202591115,3.7935156156674625,0.5777494495834149,-5.7015381998981596e-11,2.459852294123266e-05,-0.39797523617744446,4.048246383666992,2.459852294123266e-05,0.610832137733142,0.08034433285509325,0.15530846484935437,0.03084648493543759,0.12266857962697274,0.03407460545193687,0.9501700401306152,24.703807959060885
